"","Water_Year","Region","Consumptive_Use_MAF","Date","Type"
"178",1976,"Lower Basin",6.042308,1976-01-01,"No Evap"
"179",1976,"Mexico",1.748916,1976-01-01,"No Evap"
"180",1976,"Upper Basin",3.73999694332633,1976-01-01,"No Evap"
"181",1977,"Lower Basin",5.980624,1977-01-01,"No Evap"
"182",1977,"Mexico",1.833044,1977-01-01,"No Evap"
"183",1977,"Upper Basin",3.16131257701435,1977-01-01,"No Evap"
"184",1978,"Lower Basin",5.795699,1978-01-01,"No Evap"
"185",1978,"Mexico",1.744496,1978-01-01,"No Evap"
"186",1978,"Upper Basin",3.96259753315123,1978-01-01,"No Evap"
"187",1979,"Lower Basin",5.669391,1979-01-01,"No Evap"
"188",1979,"Mexico",2.766462,1979-01-01,"No Evap"
"189",1979,"Upper Basin",4.0869136036406,1979-01-01,"No Evap"
"190",1980,"Lower Basin",5.830094,1980-01-01,"No Evap"
"191",1980,"Mexico",6.140261,1980-01-01,"No Evap"
"192",1980,"Upper Basin",4.06628625789362,1980-01-01,"No Evap"
"193",1981,"Lower Basin",6.184045,1981-01-01,"No Evap"
"194",1981,"Mexico",3.865603,1981-01-01,"No Evap"
"195",1981,"Upper Basin",4.12073195169687,1981-01-01,"No Evap"
"196",1982,"Lower Basin",5.551374,1982-01-01,"No Evap"
"197",1982,"Mexico",1.670553,1982-01-01,"No Evap"
"198",1982,"Upper Basin",4.17208463048934,1982-01-01,"No Evap"
"199",1983,"Lower Basin",4.960822,1983-01-01,"No Evap"
"200",1983,"Mexico",9.615858,1983-01-01,"No Evap"
"201",1983,"Upper Basin",4.03681873707523,1983-01-01,"No Evap"
"202",1984,"Lower Basin",5.789404,1984-01-01,"No Evap"
"203",1984,"Mexico",16.803519,1984-01-01,"No Evap"
"204",1984,"Upper Basin",4.06267124703314,1984-01-01,"No Evap"
"205",1985,"Lower Basin",5.876965,1985-01-01,"No Evap"
"206",1985,"Mexico",13.265054,1985-01-01,"No Evap"
"207",1985,"Upper Basin",4.24467633170848,1985-01-01,"No Evap"
"208",1986,"Lower Basin",6.001006,1986-01-01,"No Evap"
"209",1986,"Mexico",11.00872,1986-01-01,"No Evap"
"210",1986,"Upper Basin",4.22516503338224,1986-01-01,"No Evap"
"211",1987,"Lower Basin",6.406412,1987-01-01,"No Evap"
"212",1987,"Mexico",6.375973,1987-01-01,"No Evap"
"213",1987,"Upper Basin",4.25982249433771,1987-01-01,"No Evap"
"214",1988,"Lower Basin",6.615074,1988-01-01,"No Evap"
"215",1988,"Mexico",2.903058,1988-01-01,"No Evap"
"216",1988,"Upper Basin",4.5993502762675,1988-01-01,"No Evap"
"217",1989,"Lower Basin",7.172345,1989-01-01,"No Evap"
"218",1989,"Mexico",1.809865,1989-01-01,"No Evap"
"219",1989,"Upper Basin",4.7568781025894,1989-01-01,"No Evap"
"220",1990,"Lower Basin",7.328434,1990-01-01,"No Evap"
"221",1990,"Mexico",1.659179,1990-01-01,"No Evap"
"222",1990,"Upper Basin",4.51090624318271,1990-01-01,"No Evap"
