"","Water_Year","State","Category","Region","Apportionment_Countable","Consumptive_Use","Consumptive_Use_MAF","Date"
"88",1972,"New Mexico","Municipal and Industrial","Upper Basin","Yes",4066.2,0.0040662,1972-01-01
"89",1972,"New Mexico","Power","Upper Basin","Yes",19883.2775,0.0198832775,1972-01-01
"90",1972,"New Mexico","Reservoir Evaporation","Upper Basin","Yes",20760.6122182,0.0207606122182,1972-01-01
"91",1972,"Utah","Agriculture","Upper Basin","Yes",595310.721713807,0.595310721713807,1972-01-01
"92",1972,"Utah","Export","Upper Basin","Yes",120201.93795753,0.12020193795753,1972-01-01
"93",1972,"Utah","Import","Upper Basin","Yes",-3478,-0.003478,1972-01-01
"94",1972,"Utah","Mineral","Upper Basin","Yes",9666.84000000001,0.00966684000000001,1972-01-01
"95",1972,"Utah","Municipal and Industrial","Upper Basin","Yes",6466.2,0.0064662,1972-01-01
"96",1972,"Utah","Power","Upper Basin","Yes",1735.20783985614,0.00173520783985614,1972-01-01
"97",1972,"Utah","Reservoir Evaporation","Upper Basin","Yes",136557.611184668,0.136557611184668,1972-01-01
"98",1972,"Wyoming","Agriculture","Upper Basin","Yes",296837.200016765,0.296837200016765,1972-01-01
"99",1972,"Wyoming","Export","Upper Basin","Yes",8732.99999999999,0.00873299999999999,1972-01-01
"100",1972,"Wyoming","Import","Upper Basin","Yes",0,0,1972-01-01
"101",1972,"Wyoming","Mineral","Upper Basin","Yes",11748.8,0.0117488,1972-01-01
"102",1972,"Wyoming","Municipal and Industrial","Upper Basin","Yes",3383.1,0.0033831,1972-01-01
"103",1972,"Wyoming","Power","Upper Basin","Yes",4781.53875802475,0.00478153875802475,1972-01-01
"104",1972,"Wyoming","Reservoir Evaporation","Upper Basin","Yes",30112.2959694676,0.0301122959694676,1972-01-01
"105",1973,"Arizona","Agriculture","Lower Basin","Yes",1054358,1.054358,1973-01-01
"106",1973,"Arizona","Agriculture","Upper Basin","Yes",4870.73231241995,0.00487073231241995,1973-01-01
"107",1973,"Arizona","Export","Lower Basin","Yes",0,0,1973-01-01
"108",1973,"Arizona","Export","Upper Basin","Yes",0,0,1973-01-01
"109",1973,"Arizona","Export Within System","Lower Basin","Yes",0,0,1973-01-01
"110",1973,"Arizona","Import","Upper Basin","Yes",0,0,1973-01-01
"111",1973,"Arizona","Mineral","Upper Basin","Yes",0,0,1973-01-01
"112",1973,"Arizona","Municipal and Industrial","Lower Basin","Yes",15803,0.015803,1973-01-01
"113",1973,"Arizona","Municipal and Industrial","Upper Basin","Yes",3267.6,0.0032676,1973-01-01
"114",1973,"Arizona","Power","Lower Basin","Yes",0,0,1973-01-01
"115",1973,"Arizona","Power","Upper Basin","Yes",0,0,1973-01-01
"116",1973,"Arizona","Reservoir Evaporation","Upper Basin","Yes",3454.388,0.003454388,1973-01-01
"117",1973,"California","Agriculture","Lower Basin","Yes",468270,0.46827,1973-01-01
"118",1973,"California","Export","Lower Basin","Yes",4578419,4.578419,1973-01-01
"119",1973,"California","Export Within System","Lower Basin","Yes",0,0,1973-01-01
"120",1973,"California","Municipal and Industrial","Lower Basin","Yes",4554,0.004554,1973-01-01
"121",1973,"California","Power","Lower Basin","Yes",0,0,1973-01-01
"122",1973,"Colorado","Agriculture","Upper Basin","Yes",1184131.70436746,1.18413170436746,1973-01-01
"123",1973,"Colorado","Export","Upper Basin","Yes",420741.22,0.42074122,1973-01-01
"124",1973,"Colorado","Import","Upper Basin","Yes",-427.39,-0.00042739,1973-01-01
"125",1973,"Colorado","Mineral","Upper Basin","Yes",18246.8,0.0182468,1973-01-01
"126",1973,"Colorado","Municipal and Industrial","Upper Basin","Yes",19198.6,0.0191986,1973-01-01
"127",1973,"Colorado","Power","Upper Basin","Yes",5251,0.005251,1973-01-01
"128",1973,"Colorado","Reservoir Evaporation","Upper Basin","Yes",63868.5611889114,0.0638685611889114,1973-01-01
"129",1973,"Lake Powell","Reservoir Evaporation","Upper Basin","Yes",421303.3621044,0.4213033621044,1973-01-01
"130",1973,"Lower Basin Reservoirs","Reservoir Evaporation","Lower Basin","No",1022736,1.022736,1973-01-01
"131",1973,"Mexico","Mexico Deliveries","Mexico","Yes",1593723,1.593723,1973-01-01
"132",1973,"Nevada","Agriculture","Lower Basin","Yes",2,2e-06,1973-01-01
"133",1973,"Nevada","Export","Lower Basin","Yes",0,0,1973-01-01
"134",1973,"Nevada","Export Within System","Lower Basin","Yes",0,0,1973-01-01
"135",1973,"Nevada","Municipal and Industrial","Lower Basin","Yes",77277,0.077277,1973-01-01
"136",1973,"Nevada","Power","Lower Basin","Yes",11042,0.011042,1973-01-01
"137",1973,"New Mexico","Agriculture","Upper Basin","Yes",96783.2929624984,0.0967832929624984,1973-01-01
"138",1973,"New Mexico","Export","Upper Basin","Yes",174876.2091,0.1748762091,1973-01-01
"139",1973,"New Mexico","Mineral","Upper Basin","Yes",2686.4,0.0026864,1973-01-01
"140",1973,"New Mexico","Municipal and Industrial","Upper Basin","Yes",4266.2,0.0042662,1973-01-01
"141",1973,"New Mexico","Power","Upper Basin","Yes",21641.74,0.02164174,1973-01-01
"142",1973,"New Mexico","Reservoir Evaporation","Upper Basin","Yes",28256.602,0.028256602,1973-01-01
"143",1973,"Utah","Agriculture","Upper Basin","Yes",601711.970841565,0.601711970841565,1973-01-01
"144",1973,"Utah","Export","Upper Basin","Yes",97177.9431600095,0.0971779431600095,1973-01-01
"145",1973,"Utah","Import","Upper Basin","Yes",-6031,-0.006031,1973-01-01
