"","Water_Year","State","Region","Consumptive_Use_MAF","Date"
"160",1985,"Lower Basin Reservoirs","Lower Basin",1.156536,1985-01-01
"161",1985,"Mexico","Mexico",13.265054,1985-01-01
"162",1985,"Nevada","Lower Basin",0.102377,1985-01-01
"163",1985,"New Mexico","Upper Basin",0.377789292844195,1985-01-01
"164",1985,"Utah","Upper Basin",0.824408242334789,1985-01-01
"165",1985,"Wyoming","Upper Basin",0.346825387235977,1985-01-01
"166",1986,"Arizona","Lower Basin",1.212973,1986-01-01
"167",1986,"Arizona","Upper Basin",0.0390586096844232,1986-01-01
"168",1986,"California","Lower Basin",4.675934,1986-01-01
"169",1986,"Colorado","Upper Basin",1.81050619783094,1986-01-01
"170",1986,"Lake Powell","Upper Basin",0.6474375161178,1986-01-01
"171",1986,"Lower Basin Reservoirs","Lower Basin",1.177998,1986-01-01
"172",1986,"Mexico","Mexico",11.00872,1986-01-01
"173",1986,"Nevada","Lower Basin",0.112099,1986-01-01
"174",1986,"New Mexico","Upper Basin",0.440188780998124,1986-01-01
"175",1986,"Utah","Upper Basin",0.816583384773748,1986-01-01
"176",1986,"Wyoming","Upper Basin",0.471390543977209,1986-01-01
"177",1987,"Arizona","Lower Basin",1.485842,1987-01-01
"178",1987,"Arizona","Upper Basin",0.0369689822881151,1987-01-01
"179",1987,"California","Lower Basin",4.813482,1987-01-01
"180",1987,"Colorado","Upper Basin",1.88765779054165,1987-01-01
"181",1987,"Lake Powell","Upper Basin",0.6490620265356,1987-01-01
"182",1987,"Lower Basin Reservoirs","Lower Basin",1.177284,1987-01-01
"183",1987,"Mexico","Mexico",6.375973,1987-01-01
"184",1987,"Nevada","Lower Basin",0.107088,1987-01-01
"185",1987,"New Mexico","Upper Basin",0.381814690202004,1987-01-01
"186",1987,"Utah","Upper Basin",0.840947777013486,1987-01-01
"187",1987,"Wyoming","Upper Basin",0.463371227756849,1987-01-01
"188",1988,"Arizona","Lower Basin",1.696203,1988-01-01
"189",1988,"Arizona","Upper Basin",0.0418217578552423,1988-01-01
"190",1988,"California","Lower Basin",4.798592,1988-01-01
"191",1988,"Colorado","Upper Basin",2.19646489649232,1988-01-01
"192",1988,"Lake Powell","Upper Basin",0.638871787884,1988-01-01
"193",1988,"Lower Basin Reservoirs","Lower Basin",1.12218,1988-01-01
"194",1988,"Mexico","Mexico",2.903058,1988-01-01
"195",1988,"Nevada","Lower Basin",0.120279,1988-01-01
"196",1988,"New Mexico","Upper Basin",0.347336908739942,1988-01-01
"197",1988,"Utah","Upper Basin",0.820359558804411,1988-01-01
"198",1988,"Wyoming","Upper Basin",0.554495366491589,1988-01-01
"199",1989,"Arizona","Lower Basin",2.0039,1989-01-01
"200",1989,"Arizona","Upper Basin",0.0392302324988836,1989-01-01
"201",1989,"California","Lower Basin",5.01977,1989-01-01
"202",1989,"Colorado","Upper Basin",2.43237144417362,1989-01-01
"203",1989,"Lake Powell","Upper Basin",0.5948201288957,1989-01-01
"204",1989,"Lower Basin Reservoirs","Lower Basin",1.164179,1989-01-01
"205",1989,"Mexico","Mexico",1.809865,1989-01-01
"206",1989,"Nevada","Lower Basin",0.148675,1989-01-01
"207",1989,"New Mexico","Upper Basin",0.381290579048825,1989-01-01
"208",1989,"Utah","Upper Basin",0.830831041628628,1989-01-01
"209",1989,"Wyoming","Upper Basin",0.478334676343741,1989-01-01
"210",1990,"Arizona","Lower Basin",2.067376,1990-01-01
"211",1990,"Arizona","Upper Basin",0.0360231477537169,1990-01-01
"212",1990,"California","Lower Basin",5.101429,1990-01-01
"213",1990,"Colorado","Upper Basin",2.19210325467105,1990-01-01
"214",1990,"Lake Powell","Upper Basin",0.5053459088668,1990-01-01
"215",1990,"Lower Basin Reservoirs","Lower Basin",1.087244,1990-01-01
"216",1990,"Mexico","Mexico",1.659179,1990-01-01
"217",1990,"Nevada","Lower Basin",0.159629,1990-01-01
"218",1990,"New Mexico","Upper Basin",0.387317946757626,1990-01-01
"219",1990,"Utah","Upper Basin",0.875911650204139,1990-01-01
"220",1990,"Wyoming","Upper Basin",0.514204334929383,1990-01-01
"221",1991,"Arizona","Lower Basin",1.728643,1991-01-01
"222",1991,"Arizona","Upper Basin",0.0347029536938107,1991-01-01
"223",1991,"California","Lower Basin",4.989256,1991-01-01
"224",1991,"Colorado","Upper Basin",1.79071214413602,1991-01-01
"225",1991,"Lake Powell","Upper Basin",0.4502950946033,1991-01-01
"226",1991,"Lower Basin Reservoirs","Lower Basin",1.049309,1991-01-01
"227",1991,"Mexico","Mexico",1.672878,1991-01-01
"228",1991,"Nevada","Lower Basin",0.164425,1991-01-01
"229",1991,"New Mexico","Upper Basin",0.325017511608722,1991-01-01
"230",1991,"Utah","Upper Basin",0.893340866721607,1991-01-01
"231",1991,"Wyoming","Upper Basin",0.534267514071488,1991-01-01
"232",1992,"Arizona","Lower Basin",1.681848,1992-01-01
"233",1992,"Arizona","Upper Basin",0.0368549842618814,1992-01-01
"234",1992,"California","Lower Basin",4.496165,1992-01-01
"235",1992,"Colorado","Upper Basin",1.71014180774202,1992-01-01
"236",1992,"Lake Powell","Upper Basin",0.4307753021927,1992-01-01
"237",1992,"Lower Basin Reservoirs","Lower Basin",0.992707,1992-01-01
"238",1992,"Mexico","Mexico",1.655046,1992-01-01
"239",1992,"Nevada","Lower Basin",0.165311,1992-01-01
"240",1992,"New Mexico","Upper Basin",0.295325083548849,1992-01-01
"241",1992,"Utah","Upper Basin",0.923096572010654,1992-01-01
"242",1992,"Wyoming","Upper Basin",0.553280161400747,1992-01-01
"243",1993,"Arizona","Lower Basin",1.931597,1993-01-01
"244",1993,"Arizona","Upper Basin",0.035999307617283,1993-01-01
"245",1993,"California","Lower Basin",4.693616,1993-01-01
"246",1993,"Colorado","Upper Basin",1.8492933943232,1993-01-01
"247",1993,"Lake Powell","Upper Basin",0.4853922648687,1993-01-01
"248",1993,"Lower Basin Reservoirs","Lower Basin",1.011801,1993-01-01
"249",1993,"Mexico","Mexico",4.965016,1993-01-01
"250",1993,"Nevada","Lower Basin",0.172063,1993-01-01
"251",1993,"New Mexico","Upper Basin",0.332630930781477,1993-01-01
"252",1993,"Utah","Upper Basin",0.956776941019198,1993-01-01
"253",1993,"Wyoming","Upper Basin",0.500579129568194,1993-01-01
"254",1994,"Arizona","Lower Basin",2.088577,1994-01-01
"255",1994,"Arizona","Upper Basin",0.0364491680849545,1994-01-01
"256",1994,"California","Lower Basin",5.135055,1994-01-01
"257",1994,"Colorado","Upper Basin",1.94615515706383,1994-01-01
"258",1994,"Lake Powell","Upper Basin",0.5343938298346,1994-01-01
"259",1994,"Lower Basin Reservoirs","Lower Basin",1.114866,1994-01-01
"260",1994,"Mexico","Mexico",1.948616,1994-01-01
"261",1994,"Nevada","Lower Basin",0.204077,1994-01-01
"262",1994,"New Mexico","Upper Basin",0.31666673348753,1994-01-01
"263",1994,"Utah","Upper Basin",0.956491049251213,1994-01-01
"264",1994,"Wyoming","Upper Basin",0.625487235324724,1994-01-01
"265",1995,"Arizona","Lower Basin",1.990039,1995-01-01
"266",1995,"Arizona","Upper Basin",0.0361428833682157,1995-01-01
"267",1995,"California","Lower Basin",4.899989,1995-01-01
"268",1995,"Colorado","Upper Basin",1.61194526221105,1995-01-01
"269",1995,"Lake Powell","Upper Basin",0.5700518324876,1995-01-01
"270",1995,"Lower Basin Reservoirs","Lower Basin",1.044142,1995-01-01
"271",1995,"Mexico","Mexico",1.825064,1995-01-01
"272",1995,"Nevada","Lower Basin",0.192307,1995-01-01
"273",1995,"New Mexico","Upper Basin",0.311997041929339,1995-01-01
"274",1995,"Utah","Upper Basin",0.827896404450879,1995-01-01
"275",1995,"Wyoming","Upper Basin",0.402154596665569,1995-01-01
"276",1996,"Arizona","Lower Basin",2.683593,1996-01-01
"277",1996,"Arizona","Upper Basin",0.0351577166359012,1996-01-01
"278",1996,"California","Lower Basin",5.116965,1996-01-01
"279",1996,"Colorado","Upper Basin",1.97280530101516,1996-01-01
"280",1996,"Lake Powell","Upper Basin",0.6169682616905,1996-01-01
"281",1996,"Lower Basin Reservoirs","Lower Basin",1.164524,1996-01-01
"282",1996,"Mexico","Mexico",1.72196,1996-01-01
"283",1996,"Nevada","Lower Basin",0.238412,1996-01-01
"284",1996,"New Mexico","Upper Basin",0.327209611795162,1996-01-01
"285",1996,"Utah","Upper Basin",1.06910923482139,1996-01-01
"286",1996,"Wyoming","Upper Basin",0.658047526468976,1996-01-01
"287",1997,"Arizona","Lower Basin",2.450241,1997-01-01
"288",1997,"Arizona","Upper Basin",0.0338584871307323,1997-01-01
"289",1997,"California","Lower Basin",5.22974,1997-01-01
"290",1997,"Colorado","Upper Basin",1.58706796009266,1997-01-01
"291",1997,"Lake Powell","Upper Basin",0.6187688304307,1997-01-01
