SiteName, Lat, Lon, State, DoiRegion, Huc8, DataUnits, DataValue, DataDate, DateQueried, DataDateMax, DataDateP90, DataDateP75, DataDateP50, DataDateP25, DataDateP10, DataDateMin, DataDateAvg, DataValuePctMdn, DataValuePctAvg, StatsPeriod, MaxCapacity, PctFull, TeacupUrl, DataUrl, Comment
BOISE SYSTEM, 43.54756, -115.73222, ID, CPN, 170501, ACRE-FEET, 774946, 03/27/2026, 03/28/2026, 812466.27, 761348.38, 673036.81, 546181.31, 453993.59, 325599.03, 263927.78, 555061.6830000001, 1.4188438634049927, 1.3961439309079453, 9120, 949700, 0.8159903127303358, https://www.usbr.gov/lc/region/g4000/riverops/webreports/BoiseSystem.png, placeholder-url, placeholder-comment 
YAKIMA SYSTEM, 46.86514, -120.72399, WA, CPN, 170300, ACRE-FEET, 969043.88, 03/27/2026, 03/28/2026, 1060092, 891187, 823654.25, 722272.5, 537084.13, 371929.94, 279085.88, 692051.3886666667, 1.3416596644618202, 1.4002484437853637, 9120, 1065670, 0.9093282911220172, https://www.usbr.gov/lc/region/g4000/riverops/webreports/YakimaSystem.png, placeholder-url, placeholder-comment 
SNAKE SYSTEM, 43.330208, -112.02904, ID, CPN, 170402, ACRE-FEET, 2891261, 03/27/2026, 03/28/2026, 3758393.75, 3548924.75, 3398216, 2897107.5, 2254202.5, 2074677.88, 1975535.88, 2887705.917, 0.9979819526890182, 1.001231109781322, 9120, 4045695, 0.7146512527513814, https://www.usbr.gov/lc/region/g4000/riverops/webreports/UpperSnakeSystem.png, placeholder-url, placeholder-comment 
DESCHUTES SYSTEM, 44.1768, -121.18247, ID, CPN, 170703, ACRE-FEET, 401842, 03/27/2026, 03/28/2026, 523373.37, 500844.13, 477221.28, 448431.95, 388603.56, 344911, 289601.46, 434361.149, 0.8961047490037228, 0.9251333848000297, 9120, 540687, 0.7432063282453619, https://www.usbr.gov/lc/region/g4000/riverops/webreports/DeschutesSystem.png, placeholder-url, placeholder-comment 
LAKE GRANBY - GRANBY DAM, 40.148235, -105.86569, SD, MB, 14010001, ACRE-FEET, 326721, 03/26/2026, 03/28/2026, 477250, 441012, 412835, 341218, 247578, 192065, 89978.1015625, 329245.40338541666, 0.9575139646794718, 0.9923327604289692, 9120, 539758, 0.6053101575150345, https://www.usbr.gov/lc/region/g4000/riverops/webreports/GranbyLake.png, placeholder-url, placeholder-comment 
GREEN MOUNTAIN DAM AND RESERVOIR, 39.87573, -106.33133, SD, MB, 14010002, ACRE-FEET, 56438, 03/26/2026, 03/28/2026, 88203.203125, 73783.3984375, 71567.5, 67818.1015625, 62559, 50056, 36413.6015625, 66738.57246767242, 0.8321966952729827, 0.8456578843866952, 9120, 153639, 0.36734162549873406, https://www.usbr.gov/lc/region/g4000/riverops/webreports/GreenMountainDam.png, placeholder-url, placeholder-comment 
HORSETOOTH DAM AND RESERVOIR, 40.598866, -105.17068, SD, MB, 10190007, ACRE-FEET, 147981, 03/26/2026, 03/28/2026, 156512, 151042, 140221, 126476, 110407, 46000.6015625, 34425.8984375, 119697.8, 1.1700322590847276, 1.236288386252713, 9120, 156735, 0.9441477653363958, https://www.usbr.gov/lc/region/g4000/riverops/webreports/HorsetoothDam.png, placeholder-url, placeholder-comment 
CARTER LAKE DAM AND RESERVOIR, 40.32529, -105.21231, SD, MB, 10190006, ACRE-FEET, 108546, 03/26/2026, 03/28/2026, 112314, 108908, 107292, 102702, 89285.6015625, 52422.5, 37414.80078125, 93783.58271059782, 1.0569024945960157, 1.1574093979215616, 9120, 112230, 0.9671745522587544, https://www.usbr.gov/lc/region/g4000/riverops/webreports/CarterLakeDam.png, placeholder-url, placeholder-comment 
KEYHOLE DAM AND RESERVOIR, 44.38154, -104.78003, SD, MB, 10120201, ACRE-FEET, 110943, 03/26/2026, 03/28/2026, 213451, 181800, 173688, 147427, 96017, 31679.80078125, 24702.30078125, 129973.2900390625, 0.7525283699729357, 0.8535830705420853, 9120, 188671, 0.5880235966311728, https://www.usbr.gov/lc/region/g4000/riverops/webreports/KeyholeDam.png, placeholder-url, placeholder-comment 
BUFFALO BILL DAM AND RESERVOIR, 44.500908, -109.18377, SD, MB, 10080014, ACRE-FEET, 422079, 03/26/2026, 03/28/2026, 518685, 474782, 457344, 434296, 382867, 263259, 185497, 410360.56666666665, 0.9718694162506677, 1.0285564313075242, 9120, 646565, 0.6528021157965557, https://www.usbr.gov/lc/region/g4000/riverops/webreports/BuffaloBillDam.png, placeholder-url, placeholder-comment 
BOYSEN DAM AND RESERVOIR, 43.41621, -108.1782, SD, MB, 10080005, ACRE-FEET, 529531, 03/26/2026, 03/28/2026, 660479, 640439, 598792, 583992, 527050, 440268, 321877, 557784.7, 0.9067435855285689, 0.949346584802344, 9120, 741594, 0.7140443423220793, https://www.usbr.gov/lc/region/g4000/riverops/webreports/BoysenDam.png, placeholder-url, placeholder-comment 
FRESNO DAM AND RESERVOIR, 48.601433, -109.94458, SD, MB, 10050002, ACRE-FEET, 31257, 03/26/2026, 03/28/2026, 110398, 88396, 80219, 59825.1015625, 48085, 29017, 3843, 62139.503255208336, 0.5224729951748671, 0.5030133548320591, 9120, 91746, 0.3406906023150873, https://www.usbr.gov/lc/region/g4000/riverops/webreports/FresnoDam.png, placeholder-url, placeholder-comment 
WACONDA LAKE - GLEN ELDER DAM, 39.496044, -98.31661, SD, MB, 10260015, ACRE-FEET, 171759, 03/25/2026, 03/28/2026, 349653, 226673, 219205, 206057, 182359, 160497, 129342, 204619.8, 0.8335509106703485, 0.839405570721895, 9120, 219420, 0.7827864369701941, https://www.usbr.gov/lc/region/g4000/riverops/webreports/LakeWaconda.png, placeholder-url, placeholder-comment 
