"","HUC6","Peak_Avg_SWE","Snow_Year","Date","Days2Peak"
"201","Gunnison",17.9,1999,1999-01-01,217
"202","Little Colorado",4.9,1999,1999-01-01,186
"203","Lower Colorado - Lake Mead",5.9375,1999,1999-01-01,135
"204","Lower Green",13.5619047619,1999,1999-01-01,216
"205","Salt",3.4555555556,1999,1999-01-01,186
"206","Upper Colorado - Dirty Devil",8.6333333333,1999,1999-01-01,193
"207","Upper Colorado - Dolores",9.6125,1999,1999-01-01,163
"208","Upper Gila",1.7571428571,1999,1999-01-01,444
"209","Upper Green",18.8578947368,1999,1999-01-01,211
"210","Upper San Juan",22.475,1999,1999-01-01,217
"211","White Yampa",20.9294117647,1999,1999-01-01,208
"212","Colorado Headwaters",16.9666666667,2000,2000-01-01,186
"213","Full Basin",10.7976090301231,2000,2000-01-01,174
"214","Gunnison",17.0166666667,2000,2000-01-01,186
"215","Little Colorado",4.4857142857,2000,2000-01-01,160
"216","Lower Colorado - Lake Mead",12.05,2000,2000-01-01,161
"217","Lower Green",14.0476190476,2000,2000-01-01,183
"218","Salt",2.4,2000,2000-01-01,160
"219","Upper Colorado - Dirty Devil",10.5,2000,2000-01-01,174
"220","Upper Colorado - Dolores",15.525,2000,2000-01-01,185
"221","Upper Gila",1.0142857143,2000,2000-01-01,159
"222","Upper Green",14.5052631579,2000,2000-01-01,186
"223","Upper San Juan",17.8666666667,2000,2000-01-01,187
"224","Verde",3.48,2000,2000-01-01,161
"225","White Yampa",22.0705882353,2000,2000-01-01,186
"226","Colorado Headwaters",15.8125,2001,2001-01-01,196
"227","Full Basin",11.9447999807154,2001,2001-01-01,168
"228","Gunnison",16.7,2001,2001-01-01,195
"229","Little Colorado",10.2571428571,2001,2001-01-01,162
"230","Lower Colorado - Lake Mead",12.8,2001,2001-01-01,162
"231","Lower Green",13.8428571429,2001,2001-01-01,196
"232","Salt",7.0444444444,2001,2001-01-01,162
"233","Upper Colorado - Dirty Devil",14.3285714286,2001,2001-01-01,168
"234","Upper Colorado - Dolores",14.2,2001,2001-01-01,195
"235","Upper Gila",5.8571428571,2001,2001-01-01,159
"236","Upper Green",12.5894736842,2001,2001-01-01,197
"237","Upper San Juan",25.1833333333,2001,2001-01-01,195
"238","Verde",6.92,2001,2001-01-01,162
"239","White Yampa",19.7470588235,2001,2001-01-01,196
"240","Colorado Headwaters",11.612,2002,2002-01-01,178
"241","Full Basin",7.0612413084,2002,2002-01-01,170
"242","Gunnison",11.425,2002,2002-01-01,177
"243","Little Colorado",3.5714285714,2002,2002-01-01,125
"244","Lower Colorado - Lake Mead",4.6375,2002,2002-01-01,170
"245","Lower Green",10.1,2002,2002-01-01,177
"246","Salt",3.0777777778,2002,2002-01-01,127
"247","Upper Colorado - Dirty Devil",6.8571428571,2002,2002-01-01,172
"248","Upper Colorado - Dolores",8.5875,2002,2002-01-01,171
"249","Upper Gila",2.7428571429,2002,2002-01-01,127
"250","Upper Green",12.5736842105,2002,2002-01-01,178
"251","Upper San Juan",9.25,2002,2002-01-01,171
"252","Verde",2.54,2002,2002-01-01,99
"253","White Yampa",15.1277777778,2002,2002-01-01,178
