"","Water_Year","State","Consumptive_Use_MAF","Date"
"348",2005,"NewMexico",0.436761274627985,2005-01-01
"349",2005,"Utah",1.04430503490543,2005-01-01
"350",2005,"Wyoming",0.589020675479978,2005-01-01
"351",2006,"Arizona",2.72999948407585,2006-01-01
"352",2006,"California",4.437578,2006-01-01
"353",2006,"Colorado",2.00150569313015,2006-01-01
"354",2006,"Lake Powell",0.3629778388464,2006-01-01
"355",2006,"Lower Basin Reservoirs",0.920183,2006-01-01
"356",2006,"Mexico",1.654773,2006-01-01
"357",2006,"Nevada",0.281309,2006-01-01
"358",2006,"NewMexico",0.375001668801482,2006-01-01
"359",2006,"Utah",0.96113361872723,2006-01-01
"360",2006,"Wyoming",0.606740084145183,2006-01-01
"361",2007,"Arizona",2.86204733332753,2007-01-01
"362",2007,"California",4.436252,2007-01-01
"363",2007,"Colorado",1.88157863035501,2007-01-01
"364",2007,"Lake Powell",0.3711270169226,2007-01-01
"365",2007,"Lower Basin Reservoirs",0.880348,2007-01-01
"366",2007,"Mexico",1.619707,2007-01-01
"367",2007,"Nevada",0.282422,2007-01-01
"368",2007,"NewMexico",0.396148182719641,2007-01-01
"369",2007,"Utah",0.983974237841869,2007-01-01
"370",2007,"Wyoming",0.588281289033733,2007-01-01
"371",2008,"Arizona",2.87155123340179,2008-01-01
"372",2008,"California",4.388373,2008-01-01
"373",2008,"Colorado",2.11725157811831,2008-01-01
"374",2008,"Lake Powell",0.3956391859127,2008-01-01
"375",2008,"Lower Basin Reservoirs",0.857227,2008-01-01
"376",2008,"Mexico",1.673419,2008-01-01
"377",2008,"Nevada",0.267072,2008-01-01
"378",2008,"NewMexico",0.438866391363168,2008-01-01
"379",2008,"Utah",0.925870071389141,2008-01-01
"380",2008,"Wyoming",0.588583872864075,2008-01-01
"381",2009,"Arizona",2.77615845410078,2009-01-01
"382",2009,"California",4.31736,2009-01-01
"383",2009,"Colorado",2.11513156477588,2009-01-01
"384",2009,"Lake Powell",0.4372978718257,2009-01-01
"385",2009,"Lower Basin Reservoirs",0.835035,2009-01-01
"386",2009,"Mexico",1.706675,2009-01-01
"387",2009,"Nevada",0.248795,2009-01-01
"388",2009,"NewMexico",0.414057563887479,2009-01-01
"389",2009,"Utah",0.966736871810877,2009-01-01
"390",2009,"Wyoming",0.536124240373734,2009-01-01
"391",2010,"Arizona",2.73605542095565,2010-01-01
"392",2010,"California",4.263643,2010-01-01
"393",2010,"Colorado",1.89561888060499,2010-01-01
"394",2010,"Lake Powell",0.4435449649689,2010-01-01
"395",2010,"Lower Basin Reservoirs",0.783606,2010-01-01
"396",2010,"Mexico",1.728331,2010-01-01
"397",2010,"Nevada",0.240616,2010-01-01
